2.684000,12.749001
110419:977.830017,-2.745000,12.993000
110425:977.830017,-2.745000,12.932000
110430:977.830017,-2.684000,12.932000
110436:977.830017,-2.684000,12.871000
110441:977.768982,-2.745000,12.810000
110446:977.768982,-2.684000,12.810000
110452:977.708008,-2.684000,12.810000
110457:977.708008,-2.623000,12.810000
110462:977.647034,-2.623000,12.810000
110468:977.708008,-2.562000,12.871000
110473:977.708008,-2.562000,12.871000
110479:977.708008,-2.562000,12.871000
110484:977.708008,-2.562000,12.871000
110489:977.768982,-2.562000,12.932000
110495:977.768982,-2.623000,12.932000
110500:977.830017,-2.623000,12.932000
110505:977.830017,-2.623000,12.871000
110511:977.890991,-2.623000,12.871000
110516:977.830017,-2.623000,12.810000
110522:977.830017,-2.623000,12.810000
110527:977.830017,-2.623000,12.810000
110532:977.830017,-2.562000,12.810000
110538:977.830017,-2.562000,12.871000
110543:977.830017,-2.562000,12.871000
110549:977.830017,-2.501000,12.871000
110554:977.830017,-2.562000,12.932000
110559:977.830017,-2.623000,12.993000
110565:977.768982,-2.562000,12.993000
110570:977.768982,-2.501000,12.993000
110576:977.890991,-2.501000,13.054000
110581:977.890991,-2.440000,13.115000
110586:977.890991,-2.440000,13.115000
110592:977.890991,-2.379000,13.176001
110597:977.890991,-2.379000,13.115000
110603:977.768982,-2.318000,13.054000
110608:977.768982,-2.318000,13.054000
110613:977.830017,-2.318000,13.054000
110619:977.768982,-2.318000,13.054000
110624:977.768982,-2.318000,12.993000
110630:977.830017,-2.318000,12.932000
110635:977.768982,-2.257000,12.871000
110640:977.647034,-2.135000,12.871000
110646:977.585999,-2.135000,12.810000
110651:977.585999,-2.196000,12.810000
110657:977.708008,-2.196000,12.810000
110662:977.708008,-2.196000,12.749001
110667:977.647034,-2.196000,12.688000
110673:977.585999,-2.257000,12.627000
110678:977.708008,-2.318000,12.688000
110684:977.647034,-2.318000,12.749001
110689:977.768982,-2.379000,12.749001
110694:977.890991,-2.379000,12.810000
110700:977.830017,-2.379000,12.749001
110705:977.768982,-2.257000,12.810000
110711:977.768982,-2.257000,12.871000
110716:977.830017,-2.318000,12.932000
110721:978.013000,-2.257000,12.810000
110727:977.952026,-2.257000,12.810000
110732:977.830017,-2.257000,12.810000
110737:977.768982,-2.257000,12.810000
110743:977.647034,-2.257000,12.871000
110748:977.585999,-2.318000,12.810000
110754:977.647034,-2.318000,12.810000
110759:977.830017,-2.440000,12.505000
110764:977.768982,-2.440000,12.566000
110770:977.647034,-2.501000,12.627000
110775:977.525024,-2.440000,12.688000
110781:977.647034,-2.379000,12.627000
110786:977.768982,-2.379000,12.505000
110791:977.768982,-2.318000,12.505000
110797:977.647034,-2.318000,12.505000
110802:977.585999,-2.257000,12.688000
110808:977.585999,-2.257000,12.688000
110813:977.647034,-2.257000,12.627000
110819:977.708008,-2.318000,12.505000
110824:977.768982,-2.379000,12.505000
110829:977.708008,-2.440000,12.505000
110835:977.585999,-2.562000,12.627000
110840:977.585999,-2.623000,12.566000
110845:977.647034,-2.623000,12.505000
110851:977.708008,-2.684000,12.505000
110856:977.708008,-2.684000,12.566000
110862:977.708008,-2.684000,12.566000
110867:977.708008,-2.684000,12.688000
110872:977.708008,-2.745000,12.810000
110878:977.708008,-2.745000,12.810000
110883:977.830017,-2.745000,12.810000
110889:977.890991,-2.745000,12.871000
110894:977.890991,-2.806000,12.932000
110899:977.890991,-2.867000,12.932000
110905:977.768982,-2.867000,12.993000
110910:977.768982,-2.928000,12.993000
110916:977.768982,-2.867000,12.810000
110921:977.768982,-2.867000,12.810000
110926:977.647034,-2.867000,12.932000
110932:977.585999,-2.867000,12.932000
110937:977.647034,-2.806000,12.871000
110942:977.708008,-2.806000,12.871000
110948:977.708008,-2.806000,12.871000
110953:977.708008,-2.806000,12.871000
110959:977.708008,-2.745000,12.871000
110964:977.708008,-2.745000,12.871000
110969:977.647034,-2.745000,12.932000
110975:977.585999,-2.806000,12.932000
110980:977.585999,-2.806000,12.932000
110986:977.525024,-2.806000,12.871000
110991:977.463989,-3.477000,13.115000
110996:976.488037,-2.623000,12.322001
111002:976.671021,-4.087000,12.749001
111007:976.793030,-3.843000,14.091001
111012:977.220032,-3.721000,13.786000
111018:977.525024,-3.904000,13.115000
111023:977.403015,-3.599000,13.054000
111029:977.342041,-3.477000,13.054000
111034:977.281006,-3.477000,13.298000
111040:977.281006,-3.294000,13.298000
111045:977.342041,-3.233000,13.237000
111050:977.585999,-3.172000,12.993000
111056:977.768982,-3.172000,12.993000
111061:977.708008,-3.172000,13.176001
111066:977.647034,-3.233000,13.298000
111072:977.585999,-3.233000,13.176001
111077:977.708008,-3.233000,13.115000
111083:977.768982,-3.294000,12.993000
111088:977.768982,-3.416000,12.932000
111093:977.708008,-3.416000,13.054000
111099:977.585999,-3.416000,13.176001
111104:977.585999,-3.477000,13.237000
111110:977.647034,-3.538000,13.237000
111115:977.647034,-3.477000,12.993000
111120:977.463989,-3.416000,12.871000
111126:977.342041,-3.477000,12.932000
111131:977.403015,-3.416000,12.993000
111137:977.463989,-3.355000,13.115000
111142:977.403015,-3.233000,13.054000
111147:977.281006,-3.050000,12.993000
111153:977.220032,-2.745000,12.993000
111158:977.342041,-2.562000,12.932000
111164:977.403015,-2.379000,12.993000
111169:977.403015,-2.257000,12.932000
111174:977.403015,-2.135000,12.810000
111180:977.463989,-2.135000,12.688000
111185:977.585999,-2.074000,12.627000
111191:977.647034,-2.013000,12.749001
111196:977.525024,-1.891000,12.932000
111201:977.342041,-1.891000,12.993000
111207:977.342041,-1.830000,12.932000
111212:977.647034,-1.769000,12.810000
111217:977.952026,-1.769000,12.688000
111223:977.952026,-1.708000,12.810000
111228:977.647034,-1.708000,13.054000
111234:977.585999,-1.891000,13.359000
111239:977.830017,-1.952000,13.237000
111244:978.074036,-2.013000,13.054000
111250:978.195984,-2.196000,12.993000
111255:978.013000,-2.318000,13.054000
111261:977.708008,-2.440000,13.176001
111266:977.647034,-2.562000,13.115000
111271:978.074036,-2.806000,12.749001
111277:978.074036,-2.928000,12.627000
111282:977.890991,-3.111000,12.566000
111288:977.585999,-3.233000,12.627000
111293:977.220032,-3.294000,12.749001
111298:977.098022,-3.294000,12.688000
111304:977.220032,-3.294000,12.505000
111309:977.403015,-3.294000,12.383000
111315:977.463989,-3.172000,12.444000
111320:977.342041,-3.111000,12.505000
111325:977.281006,-3.050000,12.566000
111331:977.342041,-2.928000,12.505000
111336:977.220032,-5.063000,14.701000
111341:976.793030,-6.588000,16.653000
111347:976.793030,-5.124000,15.982000
111352:977.708008,-3.660000,13.908000
111358:977.830017,-3.538000,13.603000
111363:977.403015,-3.294000,14.213000
111368:977.220032,-3.172000,14.213000
111374:977.463989,-3.538000,13.664001
111379:977.890991,-3.233000,14.091001
111385:978.135010,-3.355000,13.786000
111390:978.195984,-3.355000,13.847000
111395:978.013000,-3.599000,13.847000
